Fort Collins,40.5482, 105.0648
Joliet,41.5181, 88.1584
Escondido,33.1336, 117.0732
Kansas City[26],39.1225, 94.7418
Torrance,33.8350, 118.3414
Bridgeport,41.1874, 73.1957
Alexandria[15],38.8183, 77.0820
Sunnyvale,37.3858, 122.0263
Cary[27],35.7821, 78.8141
Lakewood,39.6989, 105.1176
Hollywood,26.0311, 80.1646
Paterson,40.9147, 74.1628
Syracuse,43.0410, 76.1436
Naperville,41.7492, 88.1620
McKinney,33.2012, 96.6680
Mesquite,32.7639, 96.5924
Clarksville,36.5664, 87.3452
Savannah,32.0025, 81.1536
Dayton,39.7774, 84.1996
Orange,33.8048, 117.8249
Fullerton,33.8857, 117.9280
Pasadena,34.1606, 118.1396
Hampton[15],37.0480, 76.2971
McAllen,26.2185, 98.2461
Killeen,31.0777, 97.7320
Warren,42.4929, 83.0250
West Valley City,40.6885, 112.0118
Columbia,34.0298, 80.8966
New Haven,41.3108, 72.9250
Sterling Heights,42.5812, 83.0303
Olathe,38.8843, 94.8188
Miramar,25.9770, 80.3358
Thousand Oaks,34.1933, 118.8742
Frisco,33.1510, 96.8193
Cedar Rapids,41.9670, 91.6778
Topeka,39.0362, 95.6948
Visalia,36.3272, 119.3234
Waco,31.5601, 97.1860
Elizabeth,40.6663, 74.1935
Bellevue,47.5978, 122.1565
Gainesville,29.6788, 82.3459
Simi Valley,34.2669, 118.7485
Charleston,32.8179, 79.9589
Carrollton,32.9884, 96.8998
Coral Springs,26.2708, 80.2593
Stamford,41.0799, 73.5460
Hartford,41.7660, 72.6833
Concord,37.9722, 122.0016
Roseville,38.7657, 121.3032
Thornton,39.9180, 104.9454
Kent,47.3853, 122.2169
Lafayette[28],30.2116, 92.0314
Surprise,33.6706, 112.4527
Denton,33.2151, 97.1417
Victorville,34.5277, 117.3536
Evansville,37.9877, 87.5347
Midland,32.0299, 102.1097
Santa Clara,37.3646, 121.9679
Athens[29],33.9496, 83.3701
Allentown,40.5940, 75.4782
Abilene,32.4545, 99.7381
Beaumont,30.0843, 94.1458
Vallejo,38.1079, 122.2639
Independence,39.0853, 94.3513
Springfield,39.7639, 89.6708
Ann Arbor,42.2756, 83.7313
Provo,40.2453, 111.6448
Peoria,40.7523, 89.6171
Norman,35.2406, 97.3453
Berkeley,37.8667, 122.2991
El Monte,34.0746, 118.0291
Murfreesboro,35.8522, 86.4161
Lansing,42.7098, 84.5562
Columbia,38.9479, 92.3261
Downey,33.9382, 118.1309
Costa Mesa,33.6659, 117.9123
Inglewood,33.9561, 118.3443
Miami Gardens,25.9489, 80.2436
Manchester,42.9847, 71.4439
Elgin,42.0396, 88.3217
Wilmington,34.2092, 77.8858
Waterbury,41.5585, 73.0367
